ID,UserID,Street,State,City,Zipcode
c5358841705b44178fc464f51c69e24e,d3a4ec91a50447ebb64e395e124caf40,4709 Blagden Terrace Northwest,DC,Washington,20011
76ba8f1097e64065993b58a2cc0dd8e8,cbec2ba1604540c6bef715c2168a686d,6404 West 82nd Drive,CO,Arvada,80003
4a39018eab044a52a47b3c7da06f647e,cddbba926c834defb8a4e38418995e3e,2042 High Street,CA,Oakland,94601
072be0f5597c45cd91aff81af90c5802,af5d515cef0c4ce3bbbb2d10b0fba17e,919 Windsor Avenue,MD,Annapolis,21403
0a55350ffd514f6dadaf184354885887,13752736db77427c8ef7cc9ab5820a09,6145 East Castro Valley Boulevard,CA,Castro Valley,94552
84f1cbf71d3543c7a259e0df1a98ca39,b06efb9160aa4169b7f7a95adc7cbd75,2802 US Highway 98,FL,Mexico Beach,32456
dbca682dccbb47618db6c4df83b95ad4,f3cbf5c878a84a60b76982c5ee67a8ec,3164 West Woodfield Way,AR,Fayetteville,72704
153c9c6f8dfb44faa56b2a4590d9f00d,5fccaf3603a8494991d5ce52d81eb4a1,2347 Glen Eagle Drive,KY,Northfield,40222
bf9f73af3cfc45eb94af3df153606ecc,5787c922551f42e0a8daafd22e6f45ac,3579 2nd Avenue,MD,Edgewater,21037
cd27186a476e41e4802db8012b199814,4d55a836c2d8452c845a13e78509f76d,1559 Alabama Avenue Southeast,DC,Washington,20032
67529e7f21864c3884e01a9c7f0a1db2,0242da41f40743feb0be0bbcf7f20e28,3215 Madsen Street,CA,Hayward,94541
bc11b14ab49f467f8ce518284220a04e,19c59919282a48bbb8ccaeccf8518819,6404 West 82nd Drive,CO,Arvada,80003
50d0b772a66e422e8698ef476c38552a,9d0c4e22d0e14723bef42ce2ee2f9a4b,1332 Maple Street,AL,Montgomery,36108
9b73986bdd9a476cb697dbc9b6e4ccbb,1dbc897a7d7c4addb8f016b6b0b52016,7250 Urban Drive,CO,Arvada,80005
f0fb5a63fff34a23ab60084fffd1da74,492074a46e544425a518bf63e969e641,2405 230th Street,MD,Pasadena,21122
